Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_type,Cause_of_accident,Pedestrian_movement,Vehicle_movement,Road_allignment,Area_accident_occured,Sub_district,Source,Year,Accident_severity
Afternoon (14-18),Sunday,31-50,Male,High school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Bajaj,Other,Crossing from nearside,Stopping,Tangent road with flat terrain,Residential areas,Kolfe Keranio,Mendeley,2018,Slight Injury
Afternoon (14-18),Thursday,18-30,Male,High school,Employee,2-5yr,One way,Crossing,Gravel roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,3,1,Public (12 seats),Other,Not a Pedestrian,Turnover,Tangent road with flat terrain,Residential areas,Bole,Mendeley,2020,Slight Injury
Afternoon (14-18),Sunday,18-30,Male,Above high school,Employee,2-5yr,One way,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,3,Taxi,Other,Not a Pedestrian,Moving Backward,Tangent road with flat terrain,Residential areas,Yeka,Mendeley,2019,Slight Injury
Night (22-6),Thursday,31-50,Male,Above high school,Owner,Below 1yr,Double carriageway (median),Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,5,Automobile,Other,Not a Pedestrian,Stopping,Tangent road with flat terrain,Residential areas,Bole,Mendeley,2020,Fatal injury
Afternoon (14-18),Friday,31-50,Male,Above high school,Owner,2-5yr,Undivided Two way,T Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Public (12 seats),Other,Crossing from driver near side,Going straight,Tangent road with flat terrain,Residential areas,Kirkos,Mendeley,2020,Slight Injury
Afternoon (14-18),Friday,31-50,Male,Elementary school,Employee,2-5yr,Undivided Two way,T Shape,Gravel roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Lorry (41-100Q),Drunk driving,Unknown or other,Going straight,Tangent road with flat terrain,Residential areas,Nifas Silk-Lafto,Mendeley,2018,Fatal injury
Afternoon (14-18),Wednesday,31-50,Female,High school,Owner,No Licence,Undivided Two way,Y Shape,Earth roads,Dry,Daylight,Raining,Vehicle with vehicle collision,3,1,Motorcycle,Other,Crossing from driver near side,Going straight,Steep grade downward with mountainous terrain,Residential areas,Kolfe Keranio,Mendeley,2017,Serious Injury
Afternoon (14-18),Thursday,31-50,Male,High school,Owner,2-5yr,One way,Y Shape,Earth roads,Dry,Daylight,Raining,Vehicle with vehicle collision,1,2,Lorry (41-100Q),Other,Crossing from driver near side,Stopping,Tangent road with flat terrain,Residential areas,Yeka,Mendeley,2020,Slight Injury
Afternoon (14-18),Tuesday,31-50,Male,High school,Other,Below 1yr,Two-way (divided with broken lines road marking),Unknown,Earth roads,Wet or damp,Daylight,Cloudy,Vehicle with vehicle collision,5,1,Bajaj,Other,Not a Pedestrian,Going straight,Tangent road with flat terrain,Residential areas,Nifas Silk-Lafto,Mendeley,2020,Slight Injury
Afternoon (14-18),Tuesday,18-30,Male,High school,Other,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Automobile,Other,Not a Pedestrian,Stopping,Tangent road with flat terrain,Residential areas,Kirkos,Mendeley,2017,Serious Injury
